epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,1583.92,0.34874,0.23603,0.79101,0.99525,0.99793,0.99491,0.8652,0.62728,0.2641,0.82798,0.00841323,0.00841323,0.00841323
120,1597.04,0.345,0.23725,0.78986,0.99705,0.99682,0.99489,0.86641,0.63107,0.2627,0.82762,0.0083878,0.0083878,0.0083878
121,1610.29,0.35492,0.24092,0.79228,0.99727,0.99554,0.99493,0.85525,0.66669,0.26678,0.83413,0.0083622,0.0083622,0.0083622
122,1623.4,0.35608,0.24057,0.7925,0.99709,0.99659,0.99497,0.87211,0.59909,0.25273,0.82252,0.00833643,0.00833643,0.00833643
123,1636.82,0.34905,0.23495,0.79047,0.99678,0.99556,0.99494,0.86845,0.61243,0.25524,0.82537,0.00831051,0.00831051,0.00831051
124,1650.01,0.34964,0.23729,0.79108,0.99844,0.99713,0.99497,0.86966,0.6119,0.25206,0.82507,0.00828443,0.00828443,0.00828443
125,1663.44,0.33524,0.23013,0.78957,0.99766,0.9948,0.9949,0.86833,0.61495,0.25374,0.82488,0.00825819,0.00825819,0.00825819
126,1676.44,0.33542,0.23215,0.78982,0.99602,0.99842,0.99492,0.87748,0.59207,0.25323,0.82264,0.0082318,0.0082318,0.0082318
127,1689.49,0.33908,0.23434,0.79074,0.99717,0.9962,0.99471,0.87132,0.61285,0.25563,0.8246,0.00820525,0.00820525,0.00820525
128,1702.76,0.33433,0.23157,0.78952,0.99704,0.99737,0.995,0.86524,0.631,0.2575,0.82762,0.00817855,0.00817855,0.00817855
129,1716.02,0.34817,0.23407,0.79082,0.99753,0.99724,0.99495,0.87294,0.60314,0.25069,0.82306,0.00815169,0.00815169,0.00815169
130,1729.29,0.33316,0.22821,0.78925,0.99581,0.99821,0.9945,0.87431,0.60472,0.25061,0.8234,0.00812468,0.00812468,0.00812468
131,1742.38,0.34271,0.23457,0.79145,0.99533,0.99583,0.99469,0.86714,0.623,0.25831,0.82682,0.00809752,0.00809752,0.00809752
132,1755.68,0.34131,0.23743,0.79173,0.99685,0.99684,0.9948,0.87929,0.5741,0.2458,0.81849,0.00807022,0.00807022,0.00807022
133,1768.88,0.33795,0.23049,0.78985,0.9972,0.99777,0.99481,0.86911,0.62215,0.25544,0.82565,0.00804277,0.00804277,0.00804277
134,1781.9,0.33643,0.22763,0.78954,0.99512,0.99713,0.99476,0.87205,0.61121,0.25283,0.82444,0.00801517,0.00801517,0.00801517
135,1795.08,0.33772,0.22882,0.7874,0.99639,0.9985,0.99496,0.86934,0.63206,0.25881,0.82689,0.00798742,0.00798742,0.00798742
136,1808.16,0.34976,0.23564,0.78911,0.99731,0.99714,0.99494,0.87775,0.58302,0.24623,0.82001,0.00795954,0.00795954,0.00795954
137,1821.91,0.34015,0.23008,0.78831,0.99401,0.99415,0.99483,0.85364,0.67626,0.26981,0.8333,0.00793151,0.00793151,0.00793151
138,1834.97,0.34848,0.23505,0.791,0.99772,0.99767,0.99491,0.86948,0.62908,0.25332,0.82656,0.00790334,0.00790334,0.00790334
139,1847.98,0.34042,0.22681,0.78977,0.99848,0.99847,0.99464,0.86537,0.63583,0.254,0.82767,0.00787503,0.00787503,0.00787503
140,1861.24,0.33688,0.2246,0.78843,0.99581,0.99684,0.99468,0.87529,0.59876,0.25046,0.822,0.00784659,0.00784659,0.00784659
141,1874.28,0.32984,0.22629,0.79102,0.99642,0.99881,0.99498,0.87077,0.61849,0.25165,0.82527,0.007818,0.007818,0.007818
142,1887.46,0.33009,0.228,0.7892,0.99716,0.99688,0.9948,0.86877,0.61903,0.25044,0.82511,0.00778929,0.00778929,0.00778929
143,1900.48,0.32886,0.22313,0.78923,0.99639,0.99764,0.99499,0.86768,0.63598,0.25503,0.82811,0.00776044,0.00776044,0.00776044
144,1913.47,0.3331,0.2272,0.79087,0.99787,0.99738,0.99482,0.87497,0.60517,0.24994,0.82286,0.00773146,0.00773146,0.00773146
145,1926.74,0.33105,0.22997,0.78831,0.99636,0.99873,0.99489,0.86697,0.6353,0.25706,0.82842,0.00770234,0.00770234,0.00770234
146,1939.86,0.34671,0.24328,0.78924,0.99486,0.99533,0.99444,0.87583,0.57853,0.25554,0.82067,0.0076731,0.0076731,0.0076731
147,1953.1,0.33742,0.2295,0.78844,0.99654,0.99778,0.99482,0.86729,0.62606,0.25476,0.82702,0.00764373,0.00764373,0.00764373
148,1966.19,0.33074,0.22498,0.78811,0.99776,0.99861,0.99497,0.86959,0.62928,0.25108,0.82692,0.00761423,0.00761423,0.00761423
149,1979.36,0.33732,0.22756,0.79032,0.9983,0.99874,0.99489,0.87371,0.6042,0.24864,0.8229,0.00758461,0.00758461,0.00758461
150,1992.42,0.33584,0.22637,0.78741,0.99707,0.9966,0.9949,0.86717,0.63075,0.25321,0.82763,0.00755487,0.00755487,0.00755487
151,2005.51,0.32868,0.22657,0.78905,0.99855,0.99841,0.99498,0.86839,0.62117,0.25157,0.8263,0.007525,0.007525,0.007525
152,2019.06,0.32909,0.22255,0.78639,0.9973,0.9982,0.99495,0.87105,0.61776,0.24828,0.82502,0.00749501,0.00749501,0.00749501
153,2032.35,0.31924,0.22127,0.78639,0.99678,0.99837,0.99476,0.87362,0.61195,0.25049,0.82431,0.00746491,0.00746491,0.00746491
154,2045.81,0.32863,0.22451,0.78747,0.99757,0.99867,0.99472,0.87125,0.61522,0.24864,0.82441,0.00743468,0.00743468,0.00743468
155,2058.99,0.33033,0.22371,0.78591,0.99806,0.99883,0.99483,0.87116,0.61,0.24863,0.82514,0.00740434,0.00740434,0.00740434
156,2072.35,0.32282,0.2189,0.78674,0.99848,0.99911,0.99484,0.87525,0.59751,0.24233,0.8229,0.00737388,0.00737388,0.00737388
157,2085.76,0.33151,0.22559,0.78733,0.99704,0.99739,0.99464,0.8761,0.59601,0.24211,0.82236,0.00734332,0.00734332,0.00734332
158,2098.93,0.32172,0.22198,0.78772,0.99674,0.99872,0.99464,0.87309,0.61073,0.2466,0.82375,0.00731263,0.00731263,0.00731263
159,2112.42,0.3196,0.21739,0.78695,0.99674,0.99898,0.99473,0.86961,0.62382,0.24885,0.82608,0.00728184,0.00728184,0.00728184
160,2125.43,0.33148,0.22405,0.78807,0.99808,0.99905,0.99493,0.87466,0.61297,0.24649,0.82426,0.00725094,0.00725094,0.00725094
161,2138.76,0.33054,0.22428,0.78648,0.99751,0.99847,0.99481,0.87003,0.61436,0.25064,0.8239,0.00721994,0.00721994,0.00721994
162,2151.99,0.32901,0.22097,0.78818,0.99795,0.9987,0.99498,0.8698,0.6175,0.24635,0.82609,0.00718882,0.00718882,0.00718882
163,2165.12,0.3174,0.21683,0.78969,0.99812,0.99728,0.99444,0.86674,0.62791,0.25275,0.82664,0.00715761,0.00715761,0.00715761
164,2178.41,0.32156,0.22018,0.78746,0.9978,0.99793,0.995,0.86426,0.63231,0.24972,0.82751,0.00712629,0.00712629,0.00712629
165,2191,0.32205,0.21775,0.7871,0.99675,0.99914,0.99499,0.87483,0.60205,0.24123,0.82326,0.00709487,0.00709487,0.00709487
166,2204.57,0.32412,0.21704,0.78572,0.99864,0.99834,0.99484,0.88057,0.5761,0.2362,0.81935,0.00706335,0.00706335,0.00706335
167,2217.82,0.32788,0.22147,0.78721,0.99815,0.99856,0.9949,0.86884,0.62118,0.24848,0.8253,0.00703173,0.00703173,0.00703173
168,2231.31,0.31852,0.21325,0.78653,0.9959,0.99871,0.99479,0.87079,0.61295,0.24487,0.82471,0.00700001,0.00700001,0.00700001
169,2244.42,0.31681,0.21553,0.78827,0.99776,0.9977,0.99494,0.86228,0.64887,0.25543,0.8308,0.0069682,0.0069682,0.0069682
170,2257.48,0.32342,0.22067,0.78766,0.99609,0.99882,0.99497,0.87654,0.59465,0.23884,0.8219,0.0069363,0.0069363,0.0069363
