epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,684.943,0.64591,0.42443,0.84617,0.9525,0.9344,0.97963,0.88214,0.47972,0.32814,0.80445,0.00646429,0.00646429,0.00646429
127,690.308,0.6562,0.42848,0.84583,0.96331,0.93753,0.98266,0.88461,0.47964,0.32241,0.8038,0.006436,0.006436,0.006436
128,695.694,0.6488,0.42314,0.84772,0.96269,0.95935,0.98704,0.88889,0.48801,0.31497,0.8048,0.00640771,0.00640771,0.00640771
129,701.033,0.68524,0.4335,0.85191,0.95996,0.96069,0.98659,0.88133,0.5161,0.32786,0.80745,0.00637943,0.00637943,0.00637943
130,706.496,0.66525,0.4291,0.85222,0.967,0.95703,0.98892,0.88766,0.48705,0.31868,0.80564,0.00635114,0.00635114,0.00635114
131,711.859,0.64747,0.41853,0.84769,0.97535,0.95036,0.98749,0.89558,0.46546,0.29812,0.80183,0.00632286,0.00632286,0.00632286
132,717.23,0.64033,0.41073,0.84539,0.96793,0.96106,0.98748,0.88924,0.48084,0.31039,0.80415,0.00629457,0.00629457,0.00629457
133,722.558,0.64252,0.42036,0.84664,0.95505,0.96628,0.98698,0.89536,0.46371,0.31347,0.80159,0.00626629,0.00626629,0.00626629
134,727.854,0.64388,0.41985,0.84428,0.95145,0.96185,0.98609,0.8821,0.48803,0.3291,0.80542,0.006238,0.006238,0.006238
135,733.169,0.64701,0.42581,0.84802,0.96951,0.95291,0.98754,0.89046,0.47979,0.32326,0.80407,0.00620971,0.00620971,0.00620971
136,738.609,0.64193,0.42154,0.84729,0.97815,0.96084,0.99017,0.89596,0.47711,0.30977,0.80309,0.00618143,0.00618143,0.00618143
137,743.997,0.64665,0.42701,0.84755,0.96819,0.96392,0.98791,0.87348,0.5418,0.32658,0.81044,0.00615314,0.00615314,0.00615314
138,749.325,0.6441,0.41743,0.85014,0.95697,0.98443,0.99061,0.89935,0.47175,0.30618,0.80215,0.00612486,0.00612486,0.00612486
139,754.733,0.63996,0.41306,0.84422,0.96457,0.93877,0.98607,0.89424,0.47457,0.31318,0.80371,0.00609657,0.00609657,0.00609657
140,760.067,0.62186,0.40691,0.84325,0.87602,0.90849,0.94564,0.85305,0.46799,0.38331,0.80097,0.00606829,0.00606829,0.00606829
141,765.463,0.64398,0.42499,0.84528,0.96875,0.96741,0.98921,0.89355,0.47112,0.30754,0.80189,0.00604,0.00604,0.00604
142,771.023,0.62339,0.40393,0.84275,0.94507,0.94822,0.97967,0.88541,0.46834,0.32387,0.80217,0.00601171,0.00601171,0.00601171
143,776.427,0.62904,0.40672,0.84484,0.96913,0.97552,0.99143,0.8999,0.45924,0.29131,0.80139,0.00598343,0.00598343,0.00598343
144,781.849,0.63749,0.40837,0.84495,0.97287,0.96724,0.99034,0.8943,0.46609,0.2994,0.8023,0.00595514,0.00595514,0.00595514
